config,kw_mean,kw_std,sem_mean,sem_std,rouge_mean,rouge_std,struct_mean,struct_std,comp_mean,comp_std
BM25-Only,0.3138,0.1622,0.4323,0.152,0.3393,0.1513,0.6365,0.1361,0.4572,0.1037
Dense-Only,0.3106,0.1575,0.4308,0.1681,0.3615,0.1402,0.6065,0.1625,0.4516,0.1084
Full-System,0.3587,0.1775,0.4464,0.1727,0.3826,0.1416,0.6434,0.1305,0.4796,0.1103
Hybrid,0.312,0.1669,0.4235,0.1477,0.3365,0.1408,0.625,0.1441,0.4498,0.1043
Hybrid+Iter,0.3376,0.1486,0.4542,0.1628,0.367,0.1143,0.6143,0.1429,0.4673,0.0969
Hybrid+Rerank,0.3442,0.1581,0.4215,0.1423,0.358,0.1475,0.6021,0.1604,0.4514,0.1009
