config,pk_mean,pk_std,rk_mean,rk_std,mrr_mean,mrr_std,rca_mean,rca_std,conf_mean,conf_std,iter_mean,latency_mean
BM25-Only,0.5975,0.1845,0.5092,0.2109,0.629,0.1736,0.3138,0.1622,0.5505,0.0972,1.0,3.4812
Dense-Only,0.5535,0.1766,0.4996,0.1907,0.6134,0.1774,0.3106,0.1575,0.5528,0.1028,1.0,3.6182
Full-System,0.7515,0.1536,0.7292,0.1507,0.8114,0.1379,0.3587,0.1775,0.649,0.0877,2.1846,10.6186
Hybrid,0.6985,0.1569,0.6368,0.192,0.7574,0.1444,0.312,0.1669,0.588,0.0838,1.0,3.5591
Hybrid+Iter,0.6276,0.1946,0.7037,0.1583,0.7158,0.1609,0.3376,0.1486,0.6058,0.1034,1.9538,5.6886
Hybrid+Rerank,0.7944,0.1546,0.7203,0.1725,0.8218,0.1366,0.3442,0.1581,0.6407,0.0891,1.0,6.0506
